rank,track,primaryArtist,artistCredits,year,trackId,trackPlayUrl,trackPreviewUrl,trackPopularity,durationMs,key,mode,timeSignature,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,valence,tempo,albumName,albumArtUrl
19,"I Can Dream, Can't I",Andrews Sisters,Andrews Sisters & Gordon Jenkins,1950-01-01T07:00:00.000Z,4oP8eYnsSKJPC4VNfPB7dZ,https://open.spotify.com/track/4oP8eYnsSKJPC4VNfPB7dZ,,30,160000,0,1,4,0.922,0.27,0.177,0,0.104,-9.791,0.0298,0.237,87.373,50th Anniversary Collection (Vol. 1),https://i.scdn.co/image/ab67616d00001e02b545de9d06f4281d1c43b1f5
20,"I'll Never Be Free",Tennessee Ernie Ford,Tennessee Ernie Ford & Kay Starr,1950-01-01T07:00:00.000Z,0KnD456yC5JuweN932Ems3,https://open.spotify.com/track/0KnD456yC5JuweN932Ems3,,15,158000,7,1,3,0.78,0.697,0.182,0,0.126,-12.586,0.0357,0.474,82.184,Vintage Collections,https://i.scdn.co/image/ab67616d00001e028bbea9fbdb68b329c1228e25
21,"All My Love",Patti Page,Patti Page,1950-01-01T07:00:00.000Z,19vjeNqhgk0vhH5TuxDok9,https://open.spotify.com/track/19vjeNqhgk0vhH5TuxDok9,,20,194333,8,1,4,0.888,0.627,0.193,0.00000149,0.119,-14.935,0.0451,0.596,123.231,"The Patti Page Collection: The Mercury Years, Volume 1",https://i.scdn.co/image/ab67616d00001e024a0c2b34f2e8aa9cd76bb5e3
22,"My Foolish Heart",Gordon Jenkins,Gordon Jenkins,1950-01-01T07:00:00.000Z,2G597vEgxsvckPwocEHY9Y,https://open.spotify.com/track/2G597vEgxsvckPwocEHY9Y,https://p.scdn.co/mp3-preview/37ffb1d3c93c780a176c5e79d652ff2c0723be81?cid=957b95b824cd41e99aa58c2c544d8191,5,175693,8,1,4,0.943,0.283,0.219,0.91,0.147,-13.386,0.0373,0.308,100.861,"The Golden Age of Light Music: Amor, Amor: Music for Romance",https://i.scdn.co/image/ab67616d00001e02263904516d6a63982381f588
23,"Rag Mop",Ames Brothers,Ames Brothers,1950-01-01T07:00:00.000Z,7z03paoXvhCzN22twdfPHR,https://open.spotify.com/track/7z03paoXvhCzN22twdfPHR,https://p.scdn.co/mp3-preview/dbc0cd51f43c282ae48413ef3776bb7f6bc0cd33?cid=957b95b824cd41e99aa58c2c544d8191,22,166520,7,1,4,0.57,0.565,0.478,0.000451,0.33,-14.53,0.0567,0.956,203.468,The Best Of The Ames,https://i.scdn.co/image/ab67616d00001e027b79e2759851dac965569852
24,"Bewitched",Bill Snyder,Bill Snyder,1950-01-01T07:00:00.000Z,56GnH4I38Rq1O4WaqWc5rl,https://open.spotify.com/track/56GnH4I38Rq1O4WaqWc5rl,https://p.scdn.co/mp3-preview/d149863774b65fd2e348e2e2486c7756e7c53aa8?cid=957b95b824cd41e99aa58c2c544d8191,6,168026,6,1,4,0.973,0.43,0.145,0.916,0.103,-24.295,0.0351,0.185,78.801,"Bewitched Medley",https://i.scdn.co/image/ab67616d00001e02ea740e0ed7c0360b73ca4f71
25,"Hoop-Dee-Doo",Perry Como,Perry Como,1950-01-01T07:00:00.000Z,12WJhNxX6EYC2rAlfVOW4d,https://open.spotify.com/track/12WJhNxX6EYC2rAlfVOW4d,https://p.scdn.co/mp3-preview/6f0d1307fd5e1eab629bae9a691956458e137bac?cid=957b95b824cd41e99aa58c2c544d8191,14,174040,1,1,4,0.91,0.645,0.43,0,0.561,-11.916,0.0444,0.944,132.643,All Time Greatest Hits,https://i.scdn.co/image/ab67616d00001e020bad1182ef0ca21bf06e37b0
26,"Bewitched",Gordon Jenkins,Gordon Jenkins,1950-01-01T07:00:00.000Z,,,,,,,,,,,,,,,,,,,
27,"Can Anyone Explain?",Ames Brothers,Ames Brothers,1950-01-01T07:00:00.000Z,4lh2f3aeRv0GcTUwP4Ydi1,https://open.spotify.com/track/4lh2f3aeRv0GcTUwP4Ydi1,https://p.scdn.co/mp3-preview/c73505e5980eff404f8669b11f7143a29fc31351?cid=957b95b824cd41e99aa58c2c544d8191,9,181945,9,1,4,0.874,0.282,0.0927,0.00531,0.102,-20.998,0.0333,0.296,144.496,The Best Of The Ames,https://i.scdn.co/image/ab67616d00001e027b79e2759851dac965569852
28,"My Foolish Heart",Billy Eckstine,Billy Eckstine,1950-01-01T07:00:00.000Z,4UnRb3Fmb8F2h2a1xKj6uK,https://open.spotify.com/track/4UnRb3Fmb8F2h2a1xKj6uK,,24,183573,9,1,4,0.993,0.218,0.186,0.141,0.379,-13.342,0.0382,0.113,170.877,Jazz Masters Vol.22,https://i.scdn.co/image/ab67616d00001e02b6d2186348bfce9bc075c76d
29,"Dear Hearts and Gentle People",Bing Crosby,Bing Crosby,1950-01-01T07:00:00.000Z,28IBsttOK2aG9Cb4QtqhMr,https://open.spotify.com/track/28IBsttOK2aG9Cb4QtqhMr,,39,161293,2,1,3,0.91,0.767,0.288,0.000377,0.142,-12.741,0.0397,0.722,107.741,Bing-His Legendary Years 1931-1957,https://i.scdn.co/image/ab67616d00001e02f2d081693e25cc52d620802f
30,"The Cry of the Wild Goose",Frankie Laine,Frankie Laine,1950-01-01T07:00:00.000Z,0b0bKit4qoLBliu2KRxl3O,https://open.spotify.com/track/0b0bKit4qoLBliu2KRxl3O,https://p.scdn.co/mp3-preview/445902fc987ae3218274e786ce59aab340ecb0cf?cid=957b95b824cd41e99aa58c2c544d8191,20,172840,5,0,4,0.777,0.572,0.273,0,0.268,-14.906,0.0526,0.43,80.236,Hell Bent For Leather!,https://i.scdn.co/image/ab67616d00001e02d2891e560fc2f97a5ab76d9e
1,"Too Young",Nat King Cole,Nat King Cole,1951-01-01T07:00:00.000Z,0zII0Soax7wbm3Avw7iVAd,https://open.spotify.com/track/0zII0Soax7wbm3Avw7iVAd,,46,204627,8,1,4,0.805,0.201,0.213,0.0000822,0.126,-14.531,0.0298,0.203,96.324,The Nat King Cole Story,https://i.scdn.co/image/ab67616d00001e02deac5adf07affb5fec422701
2,"Because of You",Tony Bennett,Tony Bennett,1951-01-01T07:00:00.000Z,1hVEHu6SemMvlYAP5MWkDj,https://open.spotify.com/track/1hVEHu6SemMvlYAP5MWkDj,https://p.scdn.co/mp3-preview/47b3b139125f33ae2e7148ca5ee2c7e71807222b?cid=957b95b824cd41e99aa58c2c544d8191,33,242040,7,0,4,0.94,0.248,0.22,0.00197,0.109,-10.768,0.0299,0.191,71.377,Duets An American Classic,https://i.scdn.co/image/ab67616d00001e02c2c103caf406c34746736307
3,"How High the Moon",Les Paul,Les Paul & Mary Ford,1951-01-01T07:00:00.000Z,0onHzLoj8yQbjbHtJzwjBx,https://open.spotify.com/track/0onHzLoj8yQbjbHtJzwjBx,,40,127267,11,0,4,0.687,0.695,0.582,0.00914,0.178,-9.567,0.0381,0.817,118.88,The Hit Makers,https://i.scdn.co/image/ab67616d00001e02e139611dc422fb2346ef3f1f
4,"Come on-a My House",Rosemary Clooney,Rosemary Clooney,1951-01-01T07:00:00.000Z,3GVyT9fBXuEkGs1STo2WHZ,https://open.spotify.com/track/3GVyT9fBXuEkGs1STo2WHZ,https://p.scdn.co/mp3-preview/7fdfbe675d2c022daa3aa5c29b8fbe45073550a7?cid=957b95b824cd41e99aa58c2c544d8191,46,116933,10,0,4,0.826,0.527,0.633,0,0.422,-8.56,0.114,0.961,183.174,The Essential Rosemary Clooney,https://i.scdn.co/image/ab67616d00001e02a1bd4e463daa74b780125e9a
5,"Be My Love",Mario Lanza,Mario Lanza,1951-01-01T07:00:00.000Z,7bETs6oajlWYVo9ycX74Vp,https://open.spotify.com/track/7bETs6oajlWYVo9ycX74Vp,https://p.scdn.co/mp3-preview/385a96970d1aa7924fc7f53564d4fcdff0dcb16c?cid=957b95b824cd41e99aa58c2c544d8191,20,209627,1,1,3,0.972,0.168,0.457,0.00000133,0.18,-7.361,0.0375,0.202,86.749,The Toast of Hollywood,https://i.scdn.co/image/ab67616d00001e02668be5ce0a0d494c19060fef
6,"On Top of Old Smoky",The Weavers,The Weavers,1951-01-01T07:00:00.000Z,3Rd7lzhb3AtQPuQ4UZiSCc,https://open.spotify.com/track/3Rd7lzhb3AtQPuQ4UZiSCc,,13,163267,11,1,3,0.869,0.421,0.464,0,0.225,-9.033,0.0367,0.657,167.947,The Best Of The Decca Years,https://i.scdn.co/image/ab67616d00001e0221f4406a4e4ff4b99b99d506
7,"Cold, Cold Heart",Tony Bennett,Tony Bennett,1951-01-01T07:00:00.000Z,6U5Iv1vX8qUOVCMijAgZhL,https://open.spotify.com/track/6U5Iv1vX8qUOVCMijAgZhL,https://p.scdn.co/mp3-preview/d84f220a80fa438d35400dc716e51c1108e0787d?cid=957b95b824cd41e99aa58c2c544d8191,25,195427,5,0,4,0.954,0.34,0.123,0.00000118,0.151,-12.329,0.0432,0.3,75.003,Duets An American Classic,https://i.scdn.co/image/ab67616d00001e02c2c103caf406c34746736307
8,"If",Perry Como,Perry Como,1951-01-01T07:00:00.000Z,1ByBFh9kjYuwpfpzaiMQX9,https://open.spotify.com/track/1ByBFh9kjYuwpfpzaiMQX9,https://p.scdn.co/mp3-preview/aafd304311a21f7ba72d213166fac331c756043d?cid=957b95b824cd41e99aa58c2c544d8191,28,193933,10,1,3,0.991,0.164,0.167,0.0625,0.17,-12.945,0.0321,0.123,168.694,The Essential Perry Como,https://i.scdn.co/image/ab67616d00001e028996ed54d0409f7393ed9c3a
9,"The Loveliest Night of the Year",Mario Lanza,Mario Lanza,1951-01-01T07:00:00.000Z,0d1IE5LVXuy4V638hzBNJV,https://open.spotify.com/track/0d1IE5LVXuy4V638hzBNJV,https://p.scdn.co/mp3-preview/1caa9a275cef49bdb9c5b00f8c3cdca7eea96a93?cid=957b95b824cd41e99aa58c2c544d8191,12,215173,8,1,5,0.938,0.197,0.386,0.0114,0.362,-8.349,0.0331,0.212,86.223,The Toast of Hollywood,https://i.scdn.co/image/ab67616d00001e02668be5ce0a0d494c19060fef
10,"Tennessee Waltz",Patti Page,Patti Page,1951-01-01T07:00:00.000Z,0BHroBUvBAp561BYqC9LRK,https://open.spotify.com/track/0BHroBUvBAp561BYqC9LRK,,57,185000,5,1,3,0.969,0.373,0.124,0.000891,0.123,-12.95,0.0342,0.351,86.857,Golden Hits,https://i.scdn.co/image/ab67616d00001e0282aa266b6d8bef04b865dbf5
11,"Jezebel",Frankie Laine,Frankie Laine,1951-01-01T07:00:00.000Z,6SYQwsOxHW5uUYjUpOKtIC,https://open.spotify.com/track/6SYQwsOxHW5uUYjUpOKtIC,https://p.scdn.co/mp3-preview/0d2cce9c67c5f5e502a880f83308a06c1c99c96f?cid=957b95b824cd41e99aa58c2c544d8191,29,190933,5,1,4,0.835,0.504,0.265,0,0.604,-16.424,0.0344,0.393,136.721,Frankie Laine's Greatest Hits,https://i.scdn.co/image/ab67616d00001e02de5ffefed843585a7c65c875
12,"I Get Ideas",Tony Martin,Tony Martin,1951-01-01T07:00:00.000Z,337MjXbvx4dDSgOYSfawii,https://open.spotify.com/track/337MjXbvx4dDSgOYSfawii,https://p.scdn.co/mp3-preview/81cd89ab81b2280baf03224958787611bbe6f077?cid=957b95b824cd41e99aa58c2c544d8191,21,159467,7,1,4,0.882,0.354,0.229,0.00000385,0.198,-10.461,0.0766,0.518,200.543,Greatest Hits,https://i.scdn.co/image/ab67616d00001e026f13e47b2ad6fee581098fc8
13,"Mockin' Bird Hill",Les Paul,Les Paul & Mary Ford,1951-01-01T07:00:00.000Z,62GWHE0tcoW9kJrscFn6k3,https://open.spotify.com/track/62GWHE0tcoW9kJrscFn6k3,,22,140133,1,1,3,0.762,0.604,0.408,0,0.185,-9.207,0.0337,0.762,164.241,The Hit Makers,https://i.scdn.co/image/ab67616d00001e02e139611dc422fb2346ef3f1f
14,"Mockin' Bird Hill",Patti Page,Patti Page,1951-01-01T07:00:00.000Z,5yzlxi4VFO8UkxepsL0guW,https://open.spotify.com/track/5yzlxi4VFO8UkxepsL0guW,https://p.scdn.co/mp3-preview/e4c979b482ac136841d8faa5483d8e9b2a163adc?cid=957b95b824cd41e99aa58c2c544d8191,38,178867,3,1,4,0.75,0.561,0.3,0,0.283,-13.995,0.0422,0.563,109.795,Patti Page's Greatest Hits,https://i.scdn.co/image/ab67616d00001e02679b75d87cc2c6b10a7f7a4d
15,"My Heart Cries for You",Guy Mitchell,Guy Mitchell & Mitch Miller,1951-01-01T07:00:00.000Z,0KuKJOGwD0lqwHFcCw5859,https://open.spotify.com/track/0KuKJOGwD0lqwHFcCw5859,https://p.scdn.co/mp3-preview/36eef2638868a7a64fdb0618c5f951e531a34e7f?cid=957b95b824cd41e99aa58c2c544d8191,26,166160,8,1,3,0.964,0.437,0.142,0.00000135,0.25,-13.524,0.0296,0.304,102.339,16 Most Requested Songs,https://i.scdn.co/image/ab67616d00001e028af5bd561d01c36fbb447a03
16,"(It's No) Sin",Eddy Howard,Eddy Howard,1951-01-01T07:00:00.000Z,4cyPBIYP1z47ZIdT7fgDxu,https://open.spotify.com/track/4cyPBIYP1z47ZIdT7fgDxu,,8,168507,8,1,4,0.963,0.343,0.096,0,0.24,-14.694,0.0379,0.195,78.666,The Best Of The Mercury Years,https://i.scdn.co/image/ab67616d00001e02fd29e53482aed8a23e067100
17,"Sound Off",Vaughn Monroe,Vaughn Monroe,1951-01-01T07:00:00.000Z,7zYRrbdbYqogTo9b3sZnaz,https://open.spotify.com/track/7zYRrbdbYqogTo9b3sZnaz,https://p.scdn.co/mp3-preview/ae9b645d655a90b869b4e74f0d35c6083054c25c?cid=957b95b824cd41e99aa58c2c544d8191,14,163989,5,1,4,0.743,0.674,0.651,0.0197,0.0782,-9.377,0.0435,0.669,114.207,Racing With The Moon: An Anthology 1940-56,https://i.scdn.co/image/ab67616d00001e026c652db352b8f023811b8277
18,"Sweet Violets",Dinah Shore,Dinah Shore,1951-01-01T07:00:00.000Z,05ifAxjJZYzDwC8iyQWChD,https://open.spotify.com/track/05ifAxjJZYzDwC8iyQWChD,https://p.scdn.co/mp3-preview/6c97af7dd11b171ac602ebf2b04e48e85e134c8e?cid=957b95b824cd41e99aa58c2c544d8191,18,167933,7,1,3,0.837,0.611,0.332,0,0.168,-9.023,0.0437,0.844,186.942,Fifty #1 Hits Of The '50s,https://i.scdn.co/image/ab67616d00001e02840913b51e7bcff6488a0b6b
19,"The World Is Waiting for the Sunrise",Les Paul,Les Paul & Mary Ford,1951-01-01T07:00:00.000Z,36JEJ923q81GkE88VP5WAD,https://open.spotify.com/track/36JEJ923q81GkE88VP5WAD,,28,132973,1,1,4,0.56,0.7,0.559,0.000297,0.0757,-8.742,0.0297,0.911,133.123,The Hit Makers,https://i.scdn.co/image/ab67616d00001e02e139611dc422fb2346ef3f1f
20,"My Truly, Truly Fair",Guy Mitchell,Guy Mitchell & Mitch Miller,1951-01-01T07:00:00.000Z,5UKcLXMxnK07HqmnHCi1C7,https://open.spotify.com/track/5UKcLXMxnK07HqmnHCi1C7,https://p.scdn.co/mp3-preview/a0317d0efa5d865fd53b2f255d32b903fd50a29f?cid=957b95b824cd41e99aa58c2c544d8191,27,169040,9,1,4,0.8,0.873,0.3,0,0.0909,-12.112,0.0348,0.96,109.38,16 Most Requested Songs,https://i.scdn.co/image/ab67616d00001e028af5bd561d01c36fbb447a03
21,"(It's No) Sin",The Four Aces,The Four Aces,1951-01-01T07:00:00.000Z,62vhGN4mIzXfMtw2cgLgnm,https://open.spotify.com/track/62vhGN4mIzXfMtw2cgLgnm,https://p.scdn.co/mp3-preview/18dfa367a141881951ac122b846329e711e9db52?cid=957b95b824cd41e99aa58c2c544d8191,17,198513,7,1,4,0.92,0.376,0.0422,0.00154,0.376,-25.988,0.0296,0.305,72.224,The Best Of The Four Aces,https://i.scdn.co/image/ab67616d00001e02867c9037afaf6aca3a24a6a3
22,"Aba Daba Honeymoon",Debbie Reynolds,Debbie Reynolds & Carleton Carpenter,1951-01-01T07:00:00.000Z,45XrjQ8xqSFPv4K7m5i32B,https://open.spotify.com/track/45XrjQ8xqSFPv4K7m5i32B,https://p.scdn.co/mp3-preview/da9f81f5de952fd349dfa57856e6c3778186f28a?cid=957b95b824cd41e99aa58c2c544d8191,23,193693,7,0,4,0.815,0.596,0.32,0,0.452,-11.837,0.204,0.602,135.432,Aba Daba Honeymoon (Radio Version),https://i.scdn.co/image/ab67616d00001e02face4ccc570a75d2f395c3fd
23,"Rose, Rose, I Love You",Frankie Laine,Frankie Laine,1951-01-01T07:00:00.000Z,5hQ3Z5zYqHKZBO0pPb16eI,https://open.spotify.com/track/5hQ3Z5zYqHKZBO0pPb16eI,https://p.scdn.co/mp3-preview/73fffd67fbfefd568f6fcb201fab699395861a76?cid=957b95b824cd41e99aa58c2c544d8191,23,152307,0,1,4,0.801,0.336,0.315,0,0.175,-14.154,0.0432,0.938,202.391,Frankie Laine's Greatest Hits,https://i.scdn.co/image/ab67616d00001e02de5ffefed843585a7c65c875
24,"Down Yonder",Del Wood,Del Wood,1951-01-01T07:00:00.000Z,3UYeTr8hsTPi5rfKd7zUsm,https://open.spotify.com/track/3UYeTr8hsTPi5rfKd7zUsm,https://p.scdn.co/mp3-preview/6541e69375d7747840a20c67dc0c4b0f160b6c3b?cid=957b95b824cd41e99aa58c2c544d8191,11,146520,10,1,4,0.734,0.684,0.654,0.932,0.103,-9.647,0.0378,0.975,135.028,Down Yonder and other favorites,https://i.scdn.co/image/ab67616d00001e02e11f1ab0714a5cccb62c470b
25,"I Apologize",Billy Eckstine,Billy Eckstine,1951-01-01T07:00:00.000Z,184kqbmjYJoWXwaqNk7BWT,https://open.spotify.com/track/184kqbmjYJoWXwaqNk7BWT,,18,171987,1,1,5,0.952,0.185,0.367,0.0475,0.0648,-10.074,0.0335,0.201,170.41,Jazz Masters Vol.22,https://i.scdn.co/image/ab67616d00001e02b6d2186348bfce9bc075c76d
26,"Would I Love You (Love You, Love You)",Patti Page,Patti Page,1951-01-01T07:00:00.000Z,7gcRqbWoSKuwMLUSb91nI3,https://open.spotify.com/track/7gcRqbWoSKuwMLUSb91nI3,,38,148560,7,0,4,0.532,0.559,0.355,0,0.26,-15.051,0.0262,0.601,96.993,A Place To Call Home (Original TV Soundtrack),https://i.scdn.co/image/ab67616d00001e02266af670d02692449902268b
27,"You're Just in Love",Perry Como,Perry Como & The Fontane Sisters,1951-01-01T07:00:00.000Z,0jVYsBfsxGA7zPurjqnlH8,https://open.spotify.com/track/0jVYsBfsxGA7zPurjqnlH8,https://p.scdn.co/mp3-preview/3b7b2f7892b3ba7d8f4d0610fafd8251153a7a1e?cid=957b95b824cd41e99aa58c2c544d8191,42,175213,2,1,4,0.924,0.649,0.118,0,0.218,-13.16,0.0513,0.549,74.99,Perry Como with the Fontane Sisters (with The Fontane Sisters),https://i.scdn.co/image/ab67616d00001e021e93c50d435d6933bb13d2f4
28,"Undecided",Ames Brothers,Ames Brothers with The Les Brown Orchestra,1951-01-01T07:00:00.000Z,6wdljStg0ycyA5Jxo498p6,https://open.spotify.com/track/6wdljStg0ycyA5Jxo498p6,https://p.scdn.co/mp3-preview/cc3e9231fb3e0cd50fac5540d4ce7bf75d2f3430?cid=957b95b824cd41e99aa58c2c544d8191,15,179119,8,1,4,0.791,0.755,0.456,0,0.284,-8.878,0.0376,0.889,135.34,The Ames Brothers Volume 2,https://i.scdn.co/image/ab67616d00001e0261aad86380e03e2642a0b2f4
29,"The Thing",Phil Harris,Phil Harris,1951-01-01T07:00:00.000Z,4kCb5K4lyspz6G8cmW7saK,https://open.spotify.com/track/4kCb5K4lyspz6G8cmW7saK,https://p.scdn.co/mp3-preview/2874a40d61a623789d7e6945c181248467e57150?cid=957b95b824cd41e99aa58c2c544d8191,20,139507,2,1,3,0.884,0.838,0.686,0,0.384,-7.66,0.297,0.922,126.929,Radio Hits Of the '50s,https://i.scdn.co/image/ab67616d00001e02effdd709ce59723f85c8c703
